Competitor Part Number,Shareway Part Number,Description,Category
,ST3431ANL,Wurth Cross-Reference,LAN Transformers
,ST6811ANL,Wurth Cross-Reference,Transformers
,ST6862ANL,Wurth Cross-Reference,LAN Transformers
000-5408-37R/-LF1,SC88026NL,Wurth Cross-Reference,Transformers
000-5408-37R/-LF1,SC88022BNL,000-5408-37R/-LF1,LAN Transformers
000-7090-37R,SC1188NLE,Wurth Cross-Reference,Transformers
000-7090-37R-LF1,SC1188NLE,Wurth Cross-Reference,Transformers
000-7093-37R-LF1,SC5007ANLE,Wurth Cross-Reference,Transformers
000-7365-30R-LF1,SC5014ANLE,Wurth Cross-Reference,Transformers
000-7412-35R-LF,SC82445NL,Wurth Cross-Reference,Transformers
000-7421-30,SC41640NL,Wurth Cross-Reference,Transformers
0432238146,SRJ1044BNL,0432238146,RJ45 Connectors
0628-1AX1-47-F,SRJK0066BHNL,Belfuse Cross-Reference,RJ45 Connectors
0810-1*1T-01,SRJ2012KONL,Belfuse Cross-Reference,RJ45 Connectors
0811-2*4R-28-F,SRJ47212CNL,Belfuse Cross-Reference,RJ45 Connectors
0813-1*1T-57-F,SRJK0013CNL,Belfuse Cross-Reference,RJ45 Connectors
08161*1T32-F,SRJK4036CNL,Belfuse Cross-Reference,RJ45 Connectors
08211*1T36-F,SRJU3401AONL,Belfuse Cross-Reference,RJ45 Connectors
0826-1*1T-57,SRJK0013ADNL,Belfuse Cross-Reference,RJ45 Connectors
0826-1*1T-57,SRJK0013AONL,Belfuse Cross-Reference,RJ45 Connectors
0826-1*1T-AD-F,SRJK0043AONL,Belfuse Cross-Reference,RJ45 Connectors
0826-1A1T-23-F,SRJK0071AHNL,Belfuse Cross-Reference,RJ45 Connectors
0826-1D1T-23-F,SRJ00713DNL,0826-1D1T-23-F,RJ45 Connectors
0826-1G1T-23-F,SRJK0071AWNL,Belfuse Cross-Reference,RJ45 Connectors
0826-1L1T-23-F,SRJK0071A8NL,Belfuse Cross-Reference,RJ45 Connectors
0826-1X1T-GH-F,SRJK6064AONL,Belfuse Cross-Reference,RJ45 Connectors
0826-1X1T-KL-F,SRJ96936ANL,0826-1X1T-KL-F,RJ45 Connectors
0826-1X1T-M1-F,SRJ46265CNL,Belfuse Cross-Reference,RJ45 Connectors
0826-1X1T-M1-F,SRJK2065AONL,Belfuse Cross-Reference,RJ45 Connectors
08261*1TGH-F,SRJK6064AONL,Belfuse Cross-Reference,RJ45 Connectors
08261*1TM1-F,SRJK2065AONL,Belfuse Cross-Reference,RJ45 Connectors
08261X1THS-F,SRJK6071AONL,Belfuse Cross-Reference,RJ45 Connectors
0845-2D1T-H5,SRJ17634NL,0845-2D1T-H5,RJ45 Connectors
0845-2G1T-H5,SRJ17633AFNL,Belfuse Cross-Reference,RJ45 Connectors
0854-2X6R-G6-F,SRJ67082DNL,0854-2X6R-G6-F,RJ45 Connectors
0854-2X8R-G6-F,SRJ87089NL,0854-2X8R-G6-F,RJ45 Connectors
0862-1J1T-43-F,SRJU4232A64NL,Belfuse Cross-Reference,RJ45 Connectors
0875-1G2T-E3,SRJG28818AFNL,Belfuse Cross-Reference,RJ45 Connectors
0875-1G2T-E3,SRJ28811NL,0875-1G2T-E3,RJ45 Connectors
0879-2G2R-Y4,SRJ27037CNL,0879-2G2R-Y4,RJ45 Connectors
0879-2G2R-Y9,SRJ27084BNL,0879-2G2R-Y9,RJ45 Connectors
08B0-1G1T-06-F,SRJ2011KWNL,Belfuse Cross-Reference,RJ45 Connectors
08B0-1X1T-36-F,SRJ90112DNL,08B0-1X1T-36-F,RJ45 Connectors
